209 165141 165141 h:120 d:23
212 165748 165748 h:338 d:76
213 170031 170031 h:112 d:87
213 170042 170042 h:143 d:84
214 170829 170829 h:343 d:30
217 172155 172155 h:48 d:94
217 172206 172206 h:349 d:2
222 173317 173317 h:176 d:67
222 173357 173357 h:158 d:44
222 173451 173451 h:53 d:32
225 173704 173704 h:354 d:78
220 174859 174859 h:45 d:45
229 175425 175425 h:42 d:46
231 175728 175728 h:48 d:94
231 175859 175859 h:10 d:33
239 182213 182213 h:362 d:87
236 182800 182800 h:74 d:94
236 182854 182854 h:50 d:9
241 183215 183215 h:367 d:39
243 183827 183827 h:370 d:21
243 183938 183938 h:371 d:21
236 184017 184017 h:45 d:45
244 184304 184304 h:280 d:42
243 184316 184316 h:373 d:74
246 184459 184459 h:338 d:76
247 184845 184845 h:375 d:25
255 192900 192900 h:29 d:47
262 200119 200119 h:385 d:87
265 201028 201028 h:387 d:21
266 202102 202102 h:388 d:30
269 202853 202853 h:390 d:30
270 204810 204810 h:48 d:94
274 205255 205255 h:226 d:72
274 205656 205656 h:396 d:56
277 210946 210946 h:390 d:30
282 213841 213841 h:401 d:78
284 214556 214556 h:104 d:6
287 215755 215755 h:404 d:44
288 220256 220256 h:354 d:78
285 220446 220446 h:10 d:33
288 221136 221136 h:385 d:87
290 222921 222921 h:409 d:84
292 224819 224819 h:412 d:97
292 224956 224956 h:36 d:79
292 225026 225026 h:417 d:92
294 225544 225544 h:338 d:76
294 225549 225549 h:196 d:51
295 230757 230757 h:421 d:100
295 230757 230757 h:421 d:101
298 232924 232924 h:422 d:26
299 233008 233008 h:422 d:26
301 233911 233911 h:428 d:65
298 234034 234034 h:429 d:3
298 234232 234232 h:430 d:21
298 234402 234402 h:431 d:87
299 235109 235109 h:440 d:86
299 235114 235114 h:441 d:67
299 235533 235533 h:367 d:39
296 2705 2705 h:10 d:33
308 31535 31535 h:390 d:30
309 61845 61845 h:10 d:33
311 72047 72047 h:46 d:43
311 72258 72258 h:325 d:32
313 81414 81414 h:184 d:68
314 82304 82304 h:10 d:33
313 82758 82758 h:421 d:100
313 82758 82758 h:421 d:101
314 82932 82932 h:205 d:72
315 92006 92006 h:10 d:33
317 93153 93153 h:213 d:31
319 100604 100604 h:40 d:79
323 104018 104018 h:459 d:7
324 104638 104638 h:466 d:49
324 104840 104840 h:412 d:97
326 105024 105024 h:469 d:59
322 105823 105823 h:78 d:18
330 105937 105937 h:475 d:59
328 110118 110118 h:202 d:75
332 110416 110416 h:5 d:3
336 111236 111236 h:209 d:68
338 112508 112508 h:54 d:16
340 112815 112815 h:10 d:33
334 113729 113729 h:120 d:23
343 113939 113939 h:490 d:25
343 114007 114007 h:491 d:91
345 114747 114747 h:495 d:86
347 115316 115316 h:495 d:86
344 115733 115733 h:498 d:49
347 115841 115841 h:5 d:3
349 124422 124422 h:176 d:67
354 130828 130828 h:354 d:78
354 130918 130918 h:385 d:87
354 131128 131128 h:507 d:39
354 131331 131331 h:207 d:88
354 131350 131350 h:511 d:76
354 131721 131721 h:10 d:33
354 131820 131820 h:205 d:72
354 132149 132149 h:78 d:18
